epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9754,1.38657,1.76527,1.52671,0.37323,0.45912,0.35688,0.18653,1.70684,2.4597,2.10222,0.000552562,0.000552562,0.000552562
2,33.1476,1.49599,1.64289,1.5985,0.28681,0.411,0.2691,0.12863,1.78731,3.33094,2.13791,0.00109726,0.00109726,0.00109726
3,48.9878,1.4721,1.59118,1.5907,0.56817,0.48311,0.53187,0.29207,1.56631,1.54484,1.83781,0.00163095,0.00163095,0.00163095
4,64.8643,1.43718,1.50655,1.55522,0.60981,0.52884,0.56296,0.29956,1.49146,1.46323,1.74431,0.00161749,0.00161749,0.00161749
5,80.6092,1.38721,1.43055,1.52723,0.51437,0.53792,0.55034,0.30958,1.48577,1.49517,1.71544,0.00160099,0.00160099,0.00160099
6,96.2886,1.34625,1.35737,1.49833,0.64535,0.58598,0.64015,0.36309,1.44462,1.2815,1.6778,0.00158448,0.00158448,0.00158448
7,111.899,1.31498,1.29379,1.4727,0.73353,0.60678,0.69383,0.42307,1.34497,1.12928,1.57024,0.00156798,0.00156798,0.00156798
8,127.608,1.31034,1.25622,1.4568,0.7019,0.61045,0.69661,0.4268,1.36088,1.13121,1.61709,0.00155148,0.00155148,0.00155148
9,143.296,1.27342,1.20562,1.44721,0.65354,0.68235,0.7046,0.4319,1.31667,1.06619,1.54324,0.00153497,0.00153497,0.00153497
10,159.143,1.2596,1.18954,1.44524,0.68767,0.69589,0.74121,0.43913,1.32527,1.01509,1.56883,0.00151847,0.00151847,0.00151847
11,175.43,1.21757,1.14534,1.40458,0.68719,0.67488,0.7306,0.43855,1.3328,1.05721,1.59199,0.00150197,0.00150197,0.00150197
12,191.608,1.21843,1.11648,1.41122,0.72407,0.64376,0.7162,0.43723,1.30302,1.03777,1.553,0.00148546,0.00148546,0.00148546
13,207.471,1.2091,1.1093,1.40491,0.76486,0.61831,0.73457,0.44975,1.32268,0.98708,1.5658,0.00146896,0.00146896,0.00146896
14,223.286,1.19678,1.08291,1.38983,0.72783,0.67326,0.74394,0.45675,1.28155,0.96846,1.53762,0.00145246,0.00145246,0.00145246
15,239.083,1.18597,1.05645,1.38727,0.73201,0.67295,0.73602,0.45753,1.31656,0.99955,1.54425,0.00143595,0.00143595,0.00143595
16,254.82,1.16411,1.02664,1.37443,0.70571,0.68041,0.7349,0.4542,1.2965,0.96917,1.56099,0.00141945,0.00141945,0.00141945
17,270.518,1.15075,1.02698,1.35865,0.76837,0.6601,0.76093,0.47971,1.2725,0.96473,1.54748,0.00140295,0.00140295,0.00140295
18,286.534,1.14472,1.00303,1.36041,0.74022,0.68989,0.76675,0.47254,1.29719,0.95493,1.5423,0.00138644,0.00138644,0.00138644
19,302.043,1.13545,0.97897,1.35623,0.73456,0.72616,0.76845,0.48175,1.25977,0.94205,1.50663,0.00136994,0.00136994,0.00136994
20,318.023,1.13004,0.97181,1.34738,0.71873,0.6407,0.72756,0.46105,1.26385,0.98438,1.51888,0.00135344,0.00135344,0.00135344
21,333.776,1.11559,0.9527,1.34235,0.75207,0.70125,0.7675,0.48868,1.24858,0.91396,1.49507,0.00133693,0.00133693,0.00133693
22,349.656,1.10386,0.93136,1.3352,0.80909,0.66839,0.76463,0.47341,1.31344,0.92816,1.55239,0.00132043,0.00132043,0.00132043
23,365.407,1.09042,0.92065,1.32922,0.74002,0.67505,0.75398,0.4789,1.25659,0.91691,1.52514,0.00130393,0.00130393,0.00130393
24,381.368,1.09161,0.91308,1.33075,0.76071,0.64661,0.74379,0.47092,1.25277,0.98215,1.51134,0.00128742,0.00128742,0.00128742
25,397.249,1.07522,0.90921,1.31716,0.71197,0.72945,0.76628,0.47811,1.25231,0.90412,1.49656,0.00127092,0.00127092,0.00127092
26,413.091,1.06672,0.86454,1.30615,0.76511,0.68158,0.7545,0.47439,1.27102,0.90266,1.51008,0.00125442,0.00125442,0.00125442
